INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1730590523.5064423
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\email\parser.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1730590523.2948585
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\search_board\admin.py first seen with mtime 1732374543.466794
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\asyncio\timeouts.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1730590521.6784625
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1730590523.2793102
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1730590523.5044372
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\threading.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\urllib3\response.py first seen with mtime 1731422612.96964
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1730590521.3237517
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_tasks.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1730590523.2893376
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1730590523.2948585
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1730590523.2913432
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1730590523.2948585
DEBUG 2024-12-01 16:19:42,661 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\common\admin.py first seen with mtime 1730590006.0056458
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1730590523.4677866
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1730590523.356855
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1730590521.845724
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1730590523.3788702
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\ctypes\wintypes.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1730590523.2873323
